기관코드,상위기관코드,부서여부,기관명,영문기관명,팩스번호,홈페이지주소,상세주소,통계작성여부,표준통계작성기관여부,설립근거유형,설립근거명,기관유형코드,기관유형명,서비스여부
111037,111,Y,인권국 인권정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111038,111,Y,인권국 인권구조과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111039,111,Y,인권국 인권조사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111040,111,Y,교정본부 교정정책단 교정기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111041,111,Y,교정본부 교정정책단 직업훈련과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111042,111,Y,교정본부 교정정책단 사회복귀과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111043,111,Y,교정본부 교정정책단 복지과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111044,111,Y,교정본부 보안정책단 보안과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111045,111,Y,교정본부 보안정책단 분류심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111046,111,Y,교정본부 보안정책단 의료과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111047,111,Y,출입국.외국인정책본부 출입국기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111048,111,Y,출입국.외국인정책본부 출입국심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111049,111,Y,출입국.외국인정책본부 체류관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111050,111,Y,출입국.외국인정책본부 이민조사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111051,111,Y,출입국.외국인정책본부 외국인정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111052,111,Y,출입국.외국인정책본부 국적·난민과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111053,111,Y,출입국.외국인정책본부 이민통합과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111054,111,Y,출입국.외국인정책본부 정보팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111055,111,Y,대변인 홍보담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111056,111,Y,운영지원과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111057,111,Y,정책보좌관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111058,111,Y,정책기획단,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111059,111,Y,출입국.외국인정책본부 이민정보과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112,,N,교육부,Ministry of Education,,https://www.moe.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
112000,112,Y,교육부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112001,112,Y,교육부 교육정보연구부,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112002,112,Y,교육부 학교체육보건급식과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112003,112,Y,교육부 지식정보기반과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112004,112,Y,교육부 지식정보정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112005,112,Y,교육부 학자금정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112006,112,Y,교육부 기획총괄담당관실,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
